Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
0	38	2	0	144	3	0	0	2412	664	0	0	32	4	503	0	767	94	7749	0	1365	6434
250	37	0	0	1	0	0	2	20280	8	9	0	0	3	1616	0	2510	63	9246	0	7043	7311
500	65	0	0	3	20	0	0	21058	0	0	0	0	0	6794	0	12289	114	17452	0	14157	20267
750	35	0	0	27	1	0	0	39078	28	0	0	0	0	7927	0	10182	19	20143	0	12590	37311
1000	38	1	0	0	4	0	23	50652	0	0	0	0	0	13215	0	19273	223	31653	0	23081	42662
1250	32	0	0	1	7	1	0	64830	0	0	3688	0	0	10417	0	22415	21	39149	0	30434	55524
1500	47	0	0	26	8	0	0	78511	43	0	8	0	1	15713	0	24455	18	47198	0	32266	65147
1750	32	0	0	1	8	0	0	83217	0	0	0	0	1	20981	0	30475	20	50865	0	39109	76989
2000	33	3	12	0	4	23	0	103198	10	10	0	0	0	18161	0	32512	395	58918	0	46445	86274
2250	38	0	0	5151	5	0	0	112410	15	0	0	0	32	24732	0	38558	17	73663	0	47788	95540
2500	34	1	0	0	4094	0	0	129861	0	0	0	0	0	29185	26	39942	44	74288	0	50612	108750
2750	51	3	0	4	8	0	0	134555	1	0	0	0	0	27467	0	42985	24	81512	0	61696	110741
3000	63	15	0	0	9	0	0	144793	1	0	0	0	0	36373	0	53130	18	94364	0	63658	129800
3250	58	3	10	0	12	0	1	154394	4	10	0	0	0	33779	0	55719	24	98803	0	66172	135850
3500	37	55	0	27	9	0	0	168144	193	0	0	0	0	39034	0	53005	22	105526	0	74340	146574
3750	31	4137	0	0	10	0	0	188034	0	0	0	0	1	40443	0	62955	20	115125	0	83941	159425
4000	62	3	0	0	9	0	0	191734	0	0	0	0	0	45794	0	64241	722	123149	0	82209	169780
4250	34	3	0	2	37	0	23	205040	39	0	0	0	2	44092	0	71331	6075	123142	0	90448	177176
4500	31	4	1	0	11	1	0	218170	0	0	0	0	0	48412	0	81708	19	137421	0	92484	195818
4750	6140	14	0	25	10	0	0	237623	1	4	0	0	0	58058	8	79724	18	142323	0	103084	198238
5000	102	3	1	1	19	0	0	246930	1	0	0	0	0	47254	0	82266	52	150426	0	108809	214310
5250	67	4	0	0	15	0	0	253275	0	0	0	0	0	60840	0	88436	89	154627	0	111873	226733
5500	74	24	0	24	10	23	0	263235	10	0	0	0	1	58491	0	82078	90	166323	0	113533	228153
5750	91	6	0	2	14	0	0	283917	0	0	1	0	2	67664	0	94873	26	170473	15	119861	245229
6000	78	13	0	0	11	0	0	319778	0	0	0	0	0	64602	0	95828	18	189708	0	159928	250342
6250	97	41	10	1	26	0	0	301122	0	0	0	0	1	67131	0	108739	50	188515	0	137156	264803
6500	58	108	0	1	16	0	0	307865	0	0	0	0	1	70639	14	114255	21	196561	0	135347	273618
6750	46	77	0	0	13	0	0	315133	13	0	0	0	1	76881	4044	117422	20	197943	1	143345	283156
7000	51	4120	1	7105	15	0	0	328383	13	0	0	0	3	77196	0	114185	2857	214641	0	151206	293883
7250	56	6	0	0	10	24	0	346712	7	0	0	0	2	75688	0	118770	26	221299	0	159676	300291
7500	38	113	0	4	11	0	0	362594	480	0	0	0	1	85418	0	121409	18	223169	0	161266	318635
7750	68	20	10	2	21	0	0	368956	1	0	0	0	0	86710	0	133667	21	231526	0	169753	323161
8000	43	10	0	55	11	1	0	386439	0	0	0	0	1	88702	0	135622	1432	241534	0	181708	339809
8250	41	21	0	30	20	0	0	393818	0	0	0	0	0	93408	0	141517	4076	248161	0	187708	352348
8500	3196	40	0	18	11	0	56	398070	0	0	0	0	0	95428	0	152246	24	267994	0	195171	357946
8750	175	37	0	0	14	0	0	410321	15	1	0	0	0	92375	8	147459	18	258639	0	199464	371119
9000	150	25	0	14	14	0	20	425135	0	1	0	0	1	97580	0	156698	23	265600	0	202034	380738
9250	89	179	0	0	16	0	14	441717	0	0	0	0	1	103603	0	153445	24	277697	0	213775	391496
9500	73	68	1	24	11	0	46	448538	1	0	0	0	1	105151	0	164196	18	287213	0	215683	397661
9750	3356	79	1	0	16	23	44	462149	0	0	0	0	1	105730	0	168154	48	285703	0	229635	411152
10000	181	4036	0	1	10	0	20	499014	17	0	0	0	27	117243	0	169179	21	304349	0	227527	421569
10250	174	15	0	50	9	0	0	497303	11	1	0	0	8	113745	0	181676	20	302297	0	232411	420268
10500	121	29	0	1	22	0	0	539159	1	1	0	0	1	113133	0	176049	26	314396	1	246700	440640
10750	87	65	0	5	20	0	0	919481	0	0	0	0	0	123763	0	178419	21	321699	0	254857	489200
11000	102	25	0	1	16	0	0	634149	2473	0	0	0	0	121518	0	188738	20	321757	0	262225	473145
11250	84	46	0	150	16	1	0	575082	6	4	0	0	1	121012	0	195842	25	333638	0	261828	496718
11500	71	67	0	0	8	0	0	664967	2	1	0	6	1	127124	0	192592	25	344080	0	277046	533364
11750	4130	30	0	1	39	0	27	562564	55	10	0	0	0	131828	0	200062	24	349512	0	280983	502526
12000	224	50	3	0	14	0	0	565673	2	0	0	0	59	134688	0	204427	18	348647	0	290678	536699
12250	138	159	1	0	35	0	0	589143	0	0	0	0	0	134600	0	210941	53	366400	0	296556	519566
12500	145	52	1	67	12	0	0	597439	1	0	0	0	0	147469	0	210397	18	362268	0	301274	537458
12750	109	61	0	0	11	0	0	611154	8	1	0	0	0	152889	9	219956	24	380011	0	312916	543695
13000	102	4085	1	1	17	0	1	604268	11	0	0	0	0	145663	0	224665	28	393398	0	312680	548270
13250	138	28	0	26	14	0	0	626869	9	11	0	0	0	151865	0	245350	21	393224	0	327384	567166
13500	75	41	1	0	15	0	0	637783	4	0	0	0	0	152272	0	216728	21	400402	0	332867	576289
13750	95	82	0	0	18	22	0	647362	47	1	0	0	16	163730	0	231817	22	413486	0	337951	580757
14000	86	47	1	4096	13	0	0	663903	4	0	0	0	1	153764	0	231531	22	411969	0	333977	586361
14250	5770	84	0	1	8	0	0	691741	0	0	0	0	0	162834	0	249692	21	429767	4099	356172	600788
14500	207	108	0	24	97	0	23	676390	4	0	0	7	7	161726	0	258622	151	435080	0	352681	606146
14750	202	59	0	21	13	1	0	686321	11	1	0	0	1	163296	0	263157	18	439604	0	365577	614005
15000	152	81	0	1	14	0	0	695861	965	0	0	0	0	173993	0	266654	27	451573	0	377148	637406
15250	122	166	10	33	13	0	0	721478	0	2	0	0	9	177751	0	267720	19	459345	0	381139	639655
15500	140	110	0	51	9	0	0	728470	0	1	0	0	0	181141	0	284512	21	465595	0	392369	696549
15750	108	132	0	29	14	0	0	732227	0	1	0	0	0	177163	0	279194	32	474049	0	392838	707864
16000	89	4095	0	0	12	0	4076	741890	9	3	0	0	0	180227	0	277265	19	477887	0	396939	679323
16250	120	131	1	0	11	0	0	772658	0	0	0	0	0	185997	0	291413	3183	491006	0	414702	681226
16500	76	102	0	3	19	0	0	770999	0	1	0	0	0	190281	0	295970	26	488731	0	415209	696726
16750	119	91	0	54	13	0	0	773069	1	1	0	0	0	193697	0	286911	63	501311	0	425109	700288
17000	122	93	1	40	50	0	0	808873	0	1	1	0	0	199626	0	293798	20	506274	0	423806	711664
17250	77	167	0	1	11	0	0	809396	0	1	0	0	0	206969	0	302056	21	524902	23	442459	717385
17500	78	125	9	0	32	0	0	828767	27	1	0	0	2	202864	0	316213	23	520552	0	464046	723461
17750	109	143	0	25	11	0	0	840442	0	0	0	0	21	208415	0	300581	18	533987	0	410203	751581
18000	91	180	0	38	10	1	0	850364	0	0	0	0	0	205482	0	305474	21	532867	0	442751	752932
18250	153	145	0	40	31	0	0	865159	0	1	0	0	2	215181	0	316203	47	551473	2	512714	763676
18500	91	201	0	23	11	0	24	872159	0	0	0	0	0	204516	0	342506	21	554365	0	557512	773066
18750	73	4150	1	39	10	0	0	887176	4039	9	0	0	1	198815	0	338953	23	564929	0	428650	787047
19000	139	222	0	0	15	0	0	928962	7	0	8	0	1	213765	0	349150	8080	566019	0	423526	790101
19250	96	271	0	2	10	0	0	913952	5	1	0	0	0	239819	8	354989	24	582780	0	414295	801733
19500	112	123	1	0	12	0	0	917181	2	0	0	0	0	230633	0	363913	23	585362	0	385635	828464
19750	4293	136	0	0	12	0	0	799432	708	0	0	0	0	232858	0	363588	22	594303	0	408367	824688
20000	216	120	0	41	9	0	23	839099	6	0	0	0	0	227506	0	368872	23	608655	0	423045	831161
20250	252	133	0	3	12	0	0	470035	8	0	0	0	1	233061	0	372563	48	607132	0	676899	838424
20500	223	190	1	1	13	0	0	392353	7	0	0	0	0	246007	0	373752	20	618283	0	703055	856601
20750	193	162	0	1	9	0	25	453896	7	0	0	0	8023	254570	0	375923	21	625572	0	768951	885997
21000	267	200	0	113	11	0	0	537441	4	8	0	0	4	244164	0	389193	22	628217	0	743200	886499
21250	218	115	1	0	21	0	0	482735	48	4029	0	0	4	256996	0	366507	4470	638678	0	719215	905561
21500	178	99	0	0	12	3809	1	414737	3	0	0	0	2	255178	0	388765	26	653046	0	772910	917663
21750	158	145	0	4237	65	0	0	473420	3	1	0	0	0	263705	0	409433	20	649372	1	774722	899151
22000	3846	106	0	46	16	0	0	418899	9	2	0	0	1	260839	0	415927	46	666232	0	784624	923973
22250	234	113	9	25	15	0	1	404174	14	1	0	0	1	276569	0	429714	23	672595	0	781566	920743
22500	206	149	0	39	13	0	0	400969	25	10	0	0	0	273101	0	426538	18	684488	0	790788	933262
22750	187	132	0	0	12	0	0	406860	12	3	0	0	2	286424	0	432357	24	678394	0	825876	955141
23000	185	171	0	26	6	0	0	473135	9	2	0	0	0	275902	0	429833	23	686156	0	854504	962950
23250	158	214	4007	0	66	0	0	501494	96	1	0	0	0	280001	0	442698	18	696265	0	844813	963021
23500	168	204	0	0	8	0	0	487865	5	0	0	0	0	254161	0	432073	25	706538	0	869204	979688
23750	174	224	1	1	4051	0	0	437601	5	11	0	0	0	308365	0	450787	24	720756	0	902657	986479
24000	132	4902	0	0	16	0	0	414212	36	1	0	0	1	266628	0	426548	20	724342	0	928040	1007636
24250	153	106	0	0	15	0	0	414461	6	1	0	0	0	294693	0	462073	168	730472	0	957055	1005416
24500	4746	113	0	4033	75	0	0	449402	8	0	0	0	0	297780	0	449509	18	743287	0	926453	1022309
24750	248	145	1	46	14	1	0	433428	5	5	0	0	1	304028	0	483205	24	741771	0	932295	1030650
25000	240	122	0	1	37	0	0	464460	5	3	0	0	0	297878	0	490943	21	744374	0	954065	1043119
25250	224	156	1	0	19	0	0	448569	47	0	0	0	1	307426	0	487819	20	756313	0	949555	1039912
25500	233	191	0	0	15	54	1	438468	11	12	0	0	0	319940	8	484605	57	757225	1	909048	1066345
25750	233	197	0	7	40	0	0	464707	7	2	0	0	0	311883	0	496941	23	772346	0	991417	1105997
26000	203	307	0	2	15	0	0	471376	4	4127	0	0	0	314818	0	487470	23	784029	0	958750	1094531
26250	231	166	1	1	12	0	0	502064	7	1	0	0	0	332582	0	495357	21	803297	0	921759	1097175
26500	4905	4203	0	2	4060	0	0	505131	5114	1	0	0	0	336119	0	551754	4388	789781	0	966636	1126741
26750	241	94	0	0	18	0	0	512167	16	1	0	0	0	338155	0	473984	18	811001	0	973493	1113109
27000	231	106	9	4036	12	0	0	498610	8	2	0	0	0	344649	0	495415	51	812946	0	981221	1115285
27250	252	127	0	0	22	0	0	500724	129	11	0	0	2	349043	0	543383	22	826747	34	997812	1129725
27500	187	107	1	0	12	0	0	499173	9	0	0	0	1	302989	0	548226	18	831971	0	1021522	1155773
27750	213	111	1	2	37	0	0	517356	36	0	0	0	0	311319	0	578269	26	838366	0	1074675	1175352
28000	209	151	0	0	17	1	0	519070	10	1	0	0	0	368172	0	555582	21	836046	0	1085726	1185121
28250	223	168	1	0	12	0	0	516294	57	2	0	0	0	352223	0	564341	20	858249	23	1041073	1171411
28500	5201	227	0	2	29	0	4033	531226	2	13	0	0	1	356894	0	565935	26	856849	0	1011776	1207926
28750	234	125	0	0	31	23	0	528944	9	3	0	0	0	345949	0	587201	27	863814	0	1090293	1214500
29000	234	150	0	0	20	0	0	538839	5	0	0	0	1	366006	0	575084	49	874207	0	1115474	1268361
29250	215	183	2	1	72	0	0	542156	19	1	1	0	1	377616	0	542085	18	868811	1	1063390	1223701
29500	235	146	0	0	15	0	0	522148	9	22	0	0	1	362463	0	630112	24	885673	0	1103787	1225539
29750	197	155	0	4386	10	0	0	534430	3	21	0	0	0	376616	0	640387	23	896583	0	1137945	1228133
30000	209	174	0	55	15	0	23	542010	2	4	0	0	0	397892	0	617732	24	916451	0	1136396	1244544
30250	193	178	0	1	9	0	0	553955	24	4	0	0	0	391359	0	639691	24	913315	0	1166227	1263269
30500	191	212	0	0	12	0	0	569046	2007	3	0	0	0	399065	0	626564	21	922272	0	1144190	1285209
30750	176	199	11	42	15	0	0	556756	0	10	0	0	0	378632	0	640114	21	923561	0	1110840	1283546
31000	155	203	0	61	12	0	0	544566	0	1	4026	0	0	343312	0	649196	23	948401	33	1142799	1284072
31250	144	265	1	35	4074	1	0	630495	0	1	0	0	0	380022	0	592702	24	944595	0	1145290	1305456
31500	174	328	0	42	8	0	1	597320	9	1	0	0	1	401250	0	682696	53	946636	0	1373548	1314524
31750	146	8216	0	0	15	0	0	599762	0	10	0	0	2	400601	4006	702052	20	965222	0	1203191	1320800
32000	122	146	0	0	13	16	1	586716	0	1	0	0	2	413685	0	683929	18	958850	0	1213907	1352935
32250	159	219	0	2	12	0	0	744893	0	11	0	0	9	423114	0	713815	28	977106	0	1271898	1350962
32500	168	144	1	47	21	0	0	773601	0	2	0	0	3	424185	0	663612	15	973144	0	1242511	1359754
32750	152	148	0	129	18	0	0	688900	11	2	0	0	0	426491	0	661231	14464	1000913	16	1233314	1348384
33000	5201	197	0	38	9	0	0	611790	25	44	9	0	1	438571	0	668518	21	1006853	0	1297686	1376489
33250	231	174	4012	0	14	0	0	606273	14	2	0	0	1	448056	0	1078498	29	1006480	0	1317728	1381430
33500	238	165	0	23	14	0	0	590280	8	0	0	0	1	453332	0	2030160	18	1004912	0	1243532	1396824
33750	208	191	1	0	14	0	0	586781	19	1	0	0	1	386557	0	1085748	107	1029536	0	1362652	1525714
34000	214	197	1	35	13	0	3	571151	26	1	0	0	3	391100	0	1081007	23	1031831	0	1377373	1411342
34250	216	4209	0	75	11	0	0	613224	8	10	0	0	2	492205	0	1517677	18	1039707	0	1284486	1464796
34500	224	165	1	0	67	0	0	608577	0	0	0	0	1	445356	0	1077263	26	1046619	0	1398181	1435790
34750	199	230	0	3	10	0	0	619503	33	1	0	0	0	440144	0	1024838	18	1057684	0	1404268	1449424
35000	171	232	1	0	10	0	0	728113	5	3	0	0	0	471244	0	1064392	28	1048586	0	1392422	1442073
35250	4535	189	0	23	15	0	0	685655	3	4026	0	0	2	471965	0	1104113	19	1070472	0	1436041	1466083
35500	272	211	0	0	10	0	0	624401	10	0	0	0	2	477707	0	1091574	18	1076657	0	1307992	1513319
35750	239	202	0	0	32	0	0	634602	2	0	0	0	57	502185	0	1088962	35	1085002	0	1286700	1492720
36000	224	199	10	42	17	0	0	653220	12	2	0	0	1	503312	8	1067481	18	1099557	0	1344836	1488551
36250	245	249	0	0	8	0	0	765376	1	1	0	0	3	506522	0	1140388	27	1101428	3	1346296	1512729
36500	209	202	11	41	14	0	0	750339	5	1	0	0	1	431367	0	1414857	22	1109110	0	1331431	1519247
36750	199	4255	0	23	12	22	0	663531	0	1	0	0	1	485098	0	1310003	20	1102521	0	1427347	1534033
37000	223	171	4013	0	15	0	1	646508	4083	0	0	0	0	529316	0	1171614	32	1124003	0	1377578	1535590
37250	195	188	1	4093	19	2	0	665613	13	1	0	0	2	498990	0	1445398	21	1122710	0	1416926	1561319
37500	4312	201	0	44	13	0	0	668714	9	0	0	0	2	504799	0	1430279	26	1139278	0	1432132	1583108
37750	244	189	10	39	14	0	0	693530	9	11	0	0	0	523466	16	1430393	20	1148116	0	1413534	1579775
38000	268	219	0	23	18	0	0	656920	16	1	0	0	0	520062	0	1492137	31	1159108	0	1484611	1582613
38250	241	192	1	0	16	0	0	701869	6	0	0	0	1	544060	0	1328218	88	1165416	0	1417104	1602251
38500	257	201	0	35	20	0	0	689960	7	0	0	0	1	563512	0	1354589	19	1174064	0	1468924	1616481
38750	235	224	1	44	13	0	0	699739	7	0	0	0	1	564272	0	1328378	30	1166253	0	1490398	1606600
39000	210	225	0	0	18	0	0	703737	6	11	0	0	0	494175	0	1355611	20	1170115	0	1494619	1626654
39250	220	4249	12	24	18	0	0	690263	44	1	1	0	1	546180	0	1372927	4122	1193036	0	2196324	1649752
39500	183	187	0	0	14	0	0	727401	31	0	0	0	0	603607	0	1254580	23	1194721	0	2065587	1641365
39750	4219	227	0	1	71	0	17	687878	4	2	0	0	1	562559	1	1358434	22	1201303	0	1784515	1662719
40000	301	260	0	0	18	0	0	737451	2	11	0	0	0	560598	0	1315159	23	1194886	0	1143320	1667310
40250	249	205	11	0	14	0	0	730886	12	2	0	0	0	592403	0	1284845	22	1213799	0	1102098	1676747
40500	245	236	0	1	12	1	22	728666	10	7	0	0	14	580661	0	1317479	94	1221450	0	1108303	1686729
40750	222	272	4008	0	15	0	0	750612	0	0	0	0	1	633056	0	1281536	24	1244165	0	1312645	1704217
