Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
0	3	0	0	78	0	0	0	829	2713	0	0	0	12	4479	0	722	35	7228	0	379	809
250	2	0	1	0	0	0	0	7108	15	14	0	0	0	1613	0	6497	22	1773	0	5292	6647
500	0	1	0	0	0	0	0	8746	0	0	0	0	0	6808	0	8325	44	6972	8	2193	8470
750	19	0	9	0	0	0	0	14769	437	0	0	0	0	7924	0	9179	6	8145	0	7107	14265
1000	4	0	0	0	0	15	0	21195	1	0	0	0	0	9079	0	16168	71	13371	0	8091	16035
1250	8	0	0	0	0	0	0	19314	1	0	0	0	0	14466	0	22115	6	10556	0	16903	17927
1500	7	60	13	0	0	0	0	29955	105	0	0	0	2	15768	0	24026	8	19978	0	5678	24265
1750	5	0	0	0	38	0	0	31957	1	4013	0	0	37	16943	0	30658	7	17035	0	12364	26405
2000	2	1	0	0	17	0	0	38472	0	0	0	0	0	22367	0	32551	135	18115	0	15893	31721
2250	20	0	0	10	0	0	0	39812	0	0	13	0	0	24178	0	39009	6	23739	0	20627	33271
2500	19	11	0	0	0	0	0	47056	1	0	0	0	0	25268	0	41304	8	28917	0	17452	39540
2750	4	0	35	0	0	0	0	44990	0	0	0	0	0	30998	0	47626	6	26322	0	26099	45350
3000	6	0	0	0	1	0	4031	55831	1	0	0	0	0	32541	0	54808	7	31654	0	23481	47887
3250	43	2	0	0	1	0	0	60894	0	13	11	0	0	37805	0	55797	10	37005	0	24440	45018
3500	5	4049	0	0	1	0	0	65148	4220	0	0	0	4009	39590	0	62428	6	34346	0	21382	94733
3750	4	0	0	0	1	9	0	68831	0	0	0	0	1	41588	0	63835	7	39553	0	34048	71444
4000	17	3	0	9	2	0	0	72012	0	0	0	0	0	46097	0	67002	277	45621	0	28558	63046
4250	5	2	0	0	0	0	0	82262	0	0	0	0	0	47740	0	72293	7	42069	0	38929	61314
4500	2	27	0	0	0	0	0	80890	2	0	0	0	0	48647	45	77922	25	47711	0	33755	69668
4750	9	6	0	0	0	0	0	83206	1	0	0	0	0	54618	0	81573	9	52731	0	38232	68724
5000	4083	4	0	0	11	0	0	97526	0	0	0	0	37	55561	0	87085	6	50192	0	39079	77682
5250	49	23	15	0	14	0	0	94985	0	0	0	0	16	57408	0	88677	6	52277	0	39924	85282
5500	36	7	0	0	0	0	0	98808	30	0	0	0	0	63295	0	94764	8	56215	0	41796	85381
5750	7177	6	0	28	0	0	0	109171	0	0	0	0	1	63668	0	97140	6	62995	0	49918	83091
6000	165	192	0	0	0	0	0	104550	0	29	0	0	0	64375	0	103017	7	63196	0	46148	94403
6250	149	38	0	0	0	0	0	111712	1	0	0	0	0	71125	0	111027	6	64295	0	47567	92407
6500	116	76	0	0	0	0	0	118164	13	0	0	0	1	72470	0	112778	7	63983	0	52691	100280
6750	87	4149	0	0	11	0	0	126594	0	0	0	0	0	81902	0	117446	13	75205	0	54844	102155
7000	97	2	0	0	2	0	15	121744	0	0	0	0	0	79845	0	120365	6	68498	0	54616	110634
7250	60	2	0	0	0	0	8	138941	1	0	10	0	0	80336	0	132616	21	77601	29	73414	110409
7500	56	16	0	10	0	0	0	128593	4391	1	0	0	0	85745	0	130114	7	78271	0	56297	113819
7750	78	5	15	0	0	0	0	141774	1	0	0	0	0	82719	0	145708	6	84135	0	54514	117762
8000	47	8	0	0	0	0	0	148878	0	0	0	0	1	95160	0	131478	601	81805	0	63885	123000
8250	56	14	0	10	0	0	16	161160	80	0	0	0	0	93768	0	144945	9	87708	0	68299	121100
8500	120	27	0	0	15	0	0	159754	1	0	0	0	0	95175	0	143201	8	88025	0	64475	130905
8750	59	12	0	0	0	0	0	162545	0	0	0	0	1	96807	0	145469	6	93565	0	67030	133991
9000	59	27	0	1	0	0	0	158250	2	38	0	0	1	103031	0	160125	8	89861	0	60923	137303
9250	39	63	0	2	3	0	0	172808	14	0	0	0	2	100204	0	163882	6	95501	0	74556	139538
9500	42	45	0	9	0	0	0	171305	3	0	0	0	0	105142	0	173368	6	101412	0	73119	156628
9750	65	74	4056	0	0	0	0	183541	0	0	0	0	0	109892	0	178005	9	98113	0	74120	151578
10000	44	4143	1	0	2	0	0	184899	1	0	0	0	2	106112	0	183464	7	103953	0	79812	156328
10250	52	7	0	0	1	0	0	181911	5022	0	0	0	0	111091	0	185552	7	110700	0	80296	155207
10500	40	11	0	0	0	0	0	192124	9	0	0	0	1	125891	0	191559	7	102146	0	81090	155582
10750	39	37	0	0	0	0	0	197862	11	0	0	0	0	127290	21	195541	7	115842	0	85531	170364
11000	37	18	0	4649	0	0	10	198278	4	0	0	0	0	119557	0	200931	6	113260	0	81092	167867
11250	4301	20	0	0	1	0	0	205369	3	0	0	0	0	120609	0	203849	8	118136	0	83534	178171
11500	54	38	0	10	0	0	0	208673	18	0	0	0	0	134977	0	212640	6	120115	0	94005	170552
11750	80	47	0	0	31	0	0	220707	1	40	0	0	0	135089	0	217386	16	120920	0	97442	191601
12000	48	38	0	0	0	0	0	218399	3	0	0	0	1	135846	0	216426	7	125895	0	128717	198948
12250	52	59	0	0	1	0	0	226911	4	0	0	0	0	133371	0	222930	8	123345	30	97456	181787
12500	121	83	0	0	0	0	0	237607	14	0	0	0	1	146261	0	228914	26	132660	0	97922	190958
12750	41	81	1	0	0	0	0	240637	5	0	0	0	0	144978	0	233849	6	132390	0	102298	206909
13000	45	4202	0	0	1	0	0	239816	4	0	0	0	0	148827	0	238008	6	138773	0	105373	197223
13250	66	19	35	7	0	0	31	253709	2	4010	0	0	4	151067	0	241477	8	135364	0	110789	205966
13500	45	17	0	0	0	0	0	253092	15	0	0	0	1	152550	0	246489	10	137638	0	111667	205803
13750	42	22	0	0	0	0	0	246152	6	0	0	0	0	156844	0	254303	8	140376	0	111538	207548
14000	4096	37	0	0	1	0	0	256227	4	0	0	0	0	162584	0	248753	8	148467	0	126396	216171
14250	73	33	29	0	0	0	0	271511	2	0	0	0	0	164977	0	248611	6	149528	0	118673	219310
14500	63	46	0	0	0	0	0	280198	2	14	0	0	0	167675	0	249204	7	151817	0	145689	221753
14750	100	96	3	0	0	42	0	281600	49	11	0	0	0	168289	0	271488	7	153626	0	123654	238845
15000	60	54	0	27	19	0	0	291887	1098	0	0	0	43	168902	0	281718	6	154038	0	127360	230469
15250	51	70	19	0	0	0	27	288975	0	0	0	0	0	173891	0	289966	6	159165	0	128359	236915
15500	108	81	0	0	0	0	0	293904	0	0	0	0	1	177588	0	297292	13	161340	0	136422	242058
15750	67	115	10	0	0	0	0	293721	0	0	0	0	0	188684	0	303318	7	163020	0	135232	244870
16000	60	275	0	0	0	0	0	300848	0	0	0	0	0	187698	0	306933	6	173269	0	138513	266270
16250	5223	3955	0	0	0	0	0	308896	1	0	0	0	0	193050	0	308755	1206	169144	0	142241	241244
